"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dff","dropout_rate","head_dim","learning_rate","n_heads","n_layers","window_size","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/val_loss","epoch/val_r_square"
"woven-sweep-13","failed","-","cridonoso","","2023-06-09T09:23:30.000Z","3358","hvmpmcr4","2500","64","0.16094695128355552","16","0.00001","2","2","200","9","0.000009999999747378752","0.14804454147815704","0.06351137161254883","0.15117256343364716","0.04838800430297851"
"devout-sweep-12","failed","-","cridonoso","","2023-06-05T07:42:28.000Z","1140","q1ntly1t","2500","16","0.07435686220138854","16","0.001","1","1","200","9","0.000009999999747378752","0.16137996315956116","0.03682863712310791","0.15126316249370575","0.031018197536468502"
"bright-sweep-15","failed","-","cridonoso","","2023-06-05T09:19:32.000Z","1196","q1ntly1t","2500","128","0.038126218642670184","16","0.0001","1","1","200","9","0.000009999999747378752","0.15036898851394653","0.033596158027648926","0.15137237310409546","0.041021764278411865"
"honest-sweep-27","failed","-","cridonoso","","2023-06-07T22:14:31.000Z","1134","q1ntly1t","2500","32","0.1580919444795595","16","0.0001","1","1","200","9","0.000009999999747378752","0.1512008160352707","0.029772639274597168","0.15150406956672668","0.025847554206848145"
"dry-sweep-40","failed","-","cridonoso","","2023-06-10T08:18:29.000Z","1139","u9aqay8r","2500","32","0.16539180939334291","16","0.001","1","1","200","9","0.000009999999747378752","0.15145157277584076","0.052013397216796875","0.1516086757183075","0.04656708240509033"
"earnest-sweep-42","failed","-","cridonoso","","2023-06-08T23:07:43.000Z","6887","q1ntly1t","2500","32","0.394885166640072","64","0.01","2","2","200","9","0.000009999999747378752","0.15591639280319214","0.003550589084625244","0.1518198847770691","0.0026775598526000977"
"classic-sweep-13","failed","-","cridonoso","","2023-06-05T08:01:47.000Z","3462","q1ntly1t","2500","128","0.18851456851601767","16","0.0001","2","2","200","9","0.000009999999747378752","0.1488189548254013","0.06106811761856079","0.15182936191558838","0.05028009414672851"
"trim-sweep-46","failed","-","cridonoso","","2023-06-10T15:20:38.000Z","4489","u9aqay8r","2500","128","0.4390213754794408","32","0.0001","2","2","200","9","0.000009999999747378752","0.1523541659116745","0.023809075355529785","0.15185074508190155","0.02566820383071899"
"celestial-sweep-36","failed","-","cridonoso","","2023-06-10T04:09:29.000Z","2394","u9aqay8r","2500","32","0.23919295792918588","32","0.00001","1","2","200","9","0.000009999999747378752","0.15415991842746735","0.0005101561546325684","0.15198105573654175","0.0013085007667541504"
"sandy-sweep-41","failed","-","cridonoso","","2023-06-08T22:47:28.000Z","1197","q1ntly1t","2500","128","0.03969203259089582","16","0.00001","1","1","200","9","0.000009999999747378752","0.14989617466926575","0.03787851333618164","0.1520770937204361","0.042006492614746094"
"floral-sweep-22","failed","-","cridonoso","","2023-06-06T22:02:28.000Z","5817","u9aqay8r","2500","32","0.24304707118942","16","0.01","4","2","200","9","0.000009999999747378752","0.1533288061618805","0.04366046190261841","0.1523032784461975","0.030456244945526123"
"serene-sweep-44","failed","-","cridonoso","","2023-06-10T13:13:27.000Z","4324","u9aqay8r","2500","32","0.18543083542778271","32","0.001","2","2","200","9","0.000009999999747378752","0.15841913223266602","0.026915252208709717","0.1530023068189621","0.026591598987579346"
"firm-sweep-48","failed","-","cridonoso","","2023-06-09T04:36:31.000Z","1976","q1ntly1t","2500","128","0.006084548037666615","16","0.00001","1","2","200","9","0.000009999999747378752","0.1488601118326187","0.01975548267364502","0.1533946394920349","0.02344834804534912"
"brisk-sweep-33","failed","-","cridonoso","","2023-06-08T09:36:29.000Z","6841","q1ntly1t","2500","16","0.14141369949870014","64","0.00001","2","2","200","9","0.000009999999747378752","0.1507771462202072","0.004412710666656494","0.15352140367031095","0.004376828670501709"
"efficient-sweep-18","failed","-","cridonoso","","2023-06-05T13:45:40.000Z","8748","q1ntly1t","2500","128","0.4264403053286038","32","0.001","4","2","200","9","0.000009999999747378752","0.1664896458387375","0.01346820592880249","0.15353351831436157","0.010102033615112305"
"hearty-sweep-22","failed","-","cridonoso","","2023-06-06T15:50:37.000Z","1917","q1ntly1t","2500","64","0.3534998481747033","16","0.01","1","2","200","9","0.000009999999747378752","0.16731327772140503","0.003617942333221435","0.15361452102661133","0.001417398452758789"
"absurd-sweep-34","failed","-","cridonoso","","2023-06-08T11:30:30.000Z","1816","q1ntly1t","2500","16","0.40963409998534495","16","0.001","1","2","200","9","0.000009999999747378752","0.16392111778259277","0.0018848180770874023","0.15365897119045258","0.0014271736145019531"
"bright-sweep-43","failed","-","cridonoso","","2023-06-09T01:02:30.000Z","1853","q1ntly1t","2500","32","0.21911296102980404","16","0.00001","1","2","200","9","0.000009999999747378752","0.1502341628074646","0.0014106035232543943","0.15371528267860413","0.001404881477355957"
"exalted-sweep-41","failed","-","cridonoso","","2023-06-10T08:37:28.000Z","7137","u9aqay8r","2500","128","0.29180988975273664","64","0.0001","2","2","200","9","0.000009999999747378752","0.1617356240749359","0.0022916197776794434","0.15382878482341766","0.001965343952178955"
"amber-sweep-30","failed","-","cridonoso","","2023-06-08T00:42:27.000Z","2338","q1ntly1t","2500","16","0.19012931799735916","32","0.01","1","2","200","9","0.000009999999747378752","0.16355979442596436","0.0014486312866210938","0.15403611958026886","0.001217961311340332"
"neat-sweep-29","failed","-","cridonoso","","2023-06-07T23:46:28.000Z","3357","q1ntly1t","2500","32","0.38117106272757034","64","0.001","1","2","200","9","0.000009999999747378752","0.15871785581111908","0.0010938644409179688","0.15412910282611847","0.0007707476615905762"
"atomic-sweep-45","failed","-","cridonoso","","2023-06-10T14:25:32.000Z","3301","u9aqay8r","2500","16","0.4558608961683964","64","0.00001","1","2","200","9","0.000009999999747378752","0.1442165970802307","0.002217531204223633","0.15426956117153168","0.0015968084335327148"
"fanciful-sweep-16","failed","-","cridonoso","","2023-06-05T09:39:29.000Z","8701","q1ntly1t","2500","128","0.4990027267816698","32","0.001","4","2","200","9","0.000009999999747378752","0.16448824107646942","0.003924310207366943","0.15428940951824188","0.0044748783111572266"
